q_id	time (s)
158491	3.618798017501831
5728	0.010698795318603516
13554	0.019319772720336914
32674	0.011080265045166016
406391	0.02254796028137207
5115	0.01450204849243164
15469	0.014224767684936523
62953	0.007885932922363281
152444	0.006351947784423828
104086	0.005286693572998047
145194	0.005342006683349609
73752	0.00725102424621582
1368508	0.004672050476074219
11534	0.005243778228759766
83078	0.0029287338256835938
25174	0.0053403377532958984
265104	0.005952119827270508
139082	0.0067560672760009766
37743	0.005142927169799805
207224	0.01321101188659668
1313611	0.005415916442871094
641464	0.007905006408691406
75295	0.008002996444702148
2591	0.0063970088958740234
107590	0.006438732147216797
362197	0.006712913513183594
13540	0.006928920745849609
25406	0.006757974624633789
128282	0.005877017974853516
267973	0.0061151981353759766
116217	0.006276130676269531
16130	0.005897045135498047
471746	0.005360126495361328
113000	0.004868984222412109
87860	0.005227088928222656
25983	0.005572080612182617
11919	0.005560874938964844
22343	0.0047838687896728516
81083	0.006479024887084961
172877	0.0050182342529296875
7169	0.0053179264068603516
13690	0.006201744079589844
8140	0.005154848098754883
206019	0.005877971649169922
104453	0.008089065551757812
73673	0.004561901092529297
996687	0.00487518310546875
121384	0.004687786102294922
87686	0.004961967468261719
410859	0.004160881042480469
108909	0.0057070255279541016
92044	0.004248142242431641
371437	0.006012916564941406
151303	0.005215883255004883
101626	0.00617218017578125
79032	0.005669832229614258
17656	0.004620075225830078
15514	0.006165981292724609
1254734	0.004851341247558594
1238278	0.0060880184173583984
21645	0.005065202713012695
1280405	0.005567073822021484
32559	0.005669116973876953
34939	0.004422903060913086
174151	0.0055391788482666016
4900	0.005850076675415039
10166	0.006357908248901367
25726	0.004569053649902344
720	0.00496983528137207
200237	0.0051119327545166016
14410	0.0047338008880615234
23920	0.006209850311279297
1897191	0.0038590431213378906
196387	0.007098197937011719
25130	0.005562782287597656
28232	0.004308938980102539
16952	0.004491090774536133
28485	0.007807254791259766
113827	0.006474971771240234
32219	0.004136085510253906
6984	0.004817962646484375
124119	0.00446319580078125
34875	0.006302356719970703
7911	0.004914999008178711
8630	0.0051729679107666016
422206	0.005524873733520508
81416	0.004742860794067383
28106	0.004897117614746094
738573	0.00623321533203125
125791	0.0050601959228515625
294384	0.006524801254272461
470620	0.00948190689086914
237831	0.006175994873046875
2161	0.003810882568359375
21145	0.004817962646484375
679227	0.0052449703216552734
2136797	0.004269123077392578
5622	0.0042171478271484375
1313598	0.005567073822021484
712704	0.005076885223388672
