q_id	time (s)
158491	0.016286134719848633
5728	0.007283210754394531
13554	0.016485214233398438
32674	0.006310224533081055
406391	0.005381107330322266
5115	0.005727052688598633
15469	0.006482839584350586
62953	0.006867885589599609
152444	0.005079984664916992
104086	0.004312276840209961
145194	0.004357099533081055
73752	0.004765748977661133
1368508	0.004549980163574219
11534	0.004608154296875
83078	0.0027618408203125
25174	0.003974199295043945
265104	0.0041348934173583984
139082	0.005095958709716797
37743	0.0047109127044677734
207224	0.010352849960327148
1313611	0.003782033920288086
641464	0.006048917770385742
75295	0.004358053207397461
2591	0.0042572021484375
107590	0.0037059783935546875
362197	0.003607034683227539
13540	0.0039920806884765625
25406	0.004378080368041992
128282	0.003644227981567383
267973	0.0038928985595703125
116217	0.003977060317993164
16130	0.0032570362091064453
471746	0.0038399696350097656
113000	0.0031228065490722656
87860	0.005034923553466797
25983	0.004044055938720703
11919	0.004460811614990234
22343	0.0035278797149658203
81083	0.004302978515625
172877	0.009552001953125
7169	0.004308938980102539
13690	0.004369258880615234
8140	0.0030989646911621094
206019	0.0034170150756835938
104453	0.005027055740356445
73673	0.003268003463745117
996687	0.003538370132446289
121384	0.0032989978790283203
87686	0.0030317306518554688
410859	0.0028159618377685547
108909	0.003490924835205078
92044	0.003033161163330078
371437	0.0039441585540771484
151303	0.0032351016998291016
101626	0.0036509037017822266
79032	0.003628969192504883
17656	0.004045009613037109
15514	0.004214048385620117
1254734	0.003437042236328125
1238278	0.0037267208099365234
21645	0.0034160614013671875
1280405	0.002953052520751953
32559	0.0029740333557128906
34939	0.0028641223907470703
174151	0.0033271312713623047
4900	0.0030260086059570312
10166	0.0037832260131835938
25726	0.0031480789184570312
720	0.0030460357666015625
200237	0.003409862518310547
14410	0.002485990524291992
23920	0.0035009384155273438
1897191	0.0016498565673828125
196387	0.0045108795166015625
25130	0.003064870834350586
28232	0.0025060176849365234
16952	0.0029621124267578125
28485	0.005717754364013672
113827	0.004155158996582031
32219	0.002851247787475586
6984	0.003160238265991211
124119	0.0025289058685302734
34875	0.003565073013305664
7911	0.0026769638061523438
8630	0.002769947052001953
422206	0.0029561519622802734
81416	0.0022640228271484375
28106	0.0024421215057373047
738573	0.0031239986419677734
125791	0.0032351016998291016
294384	0.0038051605224609375
470620	0.0028111934661865234
237831	0.0035958290100097656
2161	0.003148794174194336
21145	0.0027649402618408203
679227	0.002508878707885742
2136797	0.0027589797973632812
5622	0.002666950225830078
1313598	0.0030362606048583984
712704	0.0031731128692626953
